"","id_customer","sales_order","order_kubikasi","order_kg","tanggal_kirim_min","tanggal_kirim_max"
"1","1001","110407120",0.045564,19.446084,2022-12-05,2022-12-07
"2","1001","110407121",0.09630402,19.540098,2022-12-05,2022-12-07
"3","1001","110407119",0.04518678,12.77226,2022-12-05,2022-12-07
"4","1001","110407118",0.0388,2.71996,2022-12-05,2022-12-07
"5","1002","110407122",0.13270404,28.247238,2022-12-05,2022-12-07
"6","1002","110407123",0.07573248,33.005008008,2022-12-05,2022-12-07
"7","1002","110407226",0.07145136,32.116008,2022-12-06,2022-12-06
"8","1002","110407225",0.0608,6.628,2022-12-06,2022-12-06
"9","1002","110407224",0.16219188,29.020566,2022-12-06,2022-12-06
"10","1003","110407128",0.00936,6.216,2022-12-06,2022-12-06
"11","1003","110407462",0.051542,0,2022-12-10,2022-12-10
"12","1003","110407227",0.00768,5.44608,2022-12-06,2022-12-06
"13","1003","110407127",0.06396,13.04376,2022-12-06,2022-12-06
"14","1004","193800766",0.0837,21.18006,2022-12-02,2022-12-03
"15","1004","938600826",1.3281,194.9571,2022-12-02,2022-12-03
"16","1004","111172474",1.20413088,218.957995984,2022-12-02,2022-12-03
"17","1004","111172473",12.0024092,1823.703684,2022-12-02,2022-12-03
"18","1004","111172774",0.73411836,133.37616,2022-12-08,2022-12-09
"19","1004","938600827",0.699,102.609,2022-12-08,2022-12-09
"20","1005","110407249",1.45513656,699.205119552,2022-12-06,2022-12-08
"21","1006","110406948",0.1536,108.3792,2022-12-01,2022-12-01
"22","1006","110407352",0.3174,66.0456,2022-12-07,2022-12-07
"23","1007","1821/PBI/KPS/XI/2022",0.076,54.46,2022-12-02,2022-12-02
"24","1007","1828/PBI/QZZ/XI/2022",0.1,0,2022-12-02,2022-12-02
"25","1008","111172668",1.18871424,320.401409352,2022-12-05,2022-12-06
"26","1008","111172666",11.85622178,3549.359146118,2022-12-05,2022-12-06
"27","1008","111172667",0.89162536,182.337728,2022-12-05,2022-12-06
"28","1008","0880/Titipan/WRP/EBW/XII/2022",0.092,20,2022-12-07,2022-12-07
